"","AM.AD.1","AM.AD.2","AM.F10.T1","AM.F10.T2","DA.AD.1","DA.AD.1T","DA.AD.2","DA.AD.3","DA.AD.3T","DA.AD.4","ES.AD.1","ES.AD.2","ES.AD.3","ES.AD.4","FR.AD.1","FR.AD.2","FR.AD.3","FR.AD.4","FR.AD.5","FR.AD.6","FR.AD.7","FR.AD.8","IT.AD.1","IT.AD.2","IT.AD.3","IT.AD.4","IT.AD.5","IT.AD.6","JP.AD.1","JP.AD.2","JP.AD.3","JP.AD.4","JP.AD.5","JP.AD.6","JP.AD.7","JP.AD.8","JP.AD.9","JP.IN.1","JP.IN.2","JP.IN.3","JP.IN.4","MH0001","MH0002","MH0003","MH0004","MH0005","MH0006","MH0007","MH0008","MH0009","MH0010","MH0011","MH0012","MH0013","MH0014","MH0015","MH0016","MH0017","MH0018","MH0019","MH0020","MH0021","MH0022","MH0023","MH0024","MH0025","MH0026","MH0027","MH0028","MH0030","MH0031","MH0032","MH0033","MH0034","MH0035","MH0036","MH0037","MH0038","MH0039","MH0040","MH0041","MH0042","MH0043","MH0044","MH0045","MH0046","MH0047","MH0048","MH0049","MH0050","MH0051","MH0052","MH0053","MH0054","MH0055","MH0056","MH0057","MH0058","MH0059","MH0060","MH0061","MH0062","MH0063","MH0064","MH0065","MH0066","MH0067","MH0068","MH0069","MH0070","MH0071","MH0072","MH0073","MH0074","MH0075","MH0076","MH0077","MH0078","MH0079","MH0080","MH0081","MH0082","MH0083","MH0084","MH0085","MH0086","TS1_V2","TS10_V2","TS100_V2","TS101.2_V2","TS103_V2","TS104_V2","TS105_V2","TS106_V2","TS107_V2","TS109_V2","TS11_V2","TS110_V2","TS111_V2","TS115_V2","TS116_V2","TS117_V2","TS118_V2","TS119_V2","TS12_V2","TS120_V2","TS124_V2","TS125_V2","TS126_V2","TS127_V2","TS128_V2","TS129_V2","TS13_V2","TS130_V2","TS131_V2","TS132_V2","TS133_V2","TS134_V2","TS135_V2","TS136_V2","TS137_V2","TS138_V2","TS139_V2","TS14_V2","TS140_V2","TS141_V2","TS142_V2","TS143_V2","TS144_V2","TS145_V2","TS146_V2","TS147_V2","TS148_V2","TS149_V2","TS15_V2","TS150_V2","TS151_V2","TS152_V2","TS153_V2","TS154.2_V2","TS155_V2","TS156_V2","TS16_V2","TS160_V2","TS161_V2","TS162_V2","TS163_V2","TS164_V2","TS165_V2","TS166_V2","TS167_V2","TS168_V2","TS169_V2","TS17_V2","TS170_V2","TS178_V2","TS179_V2","TS180_V2","TS181_V2","TS182_V2","TS183_V2","TS184_V2","TS185_V2","TS186_V2","TS19_V2","TS190_V2","TS191_V2","TS192_V2","TS193_V2","TS194_V2","TS195_V2","TS2_V2","TS20_V2","TS21_V2","TS22_V2","TS23_V2","TS25_V2","TS26_V2","TS27_V2","TS28_V2","TS29_V2","TS3_V2","TS30_V2","TS31_V2","TS32_V2","TS33_V2","TS34_V2","TS35_V2","TS37_V2","TS38_V2","TS39_V2","TS4_V2","TS43_V2","TS44_V2","TS49_V2","TS5_V2","TS50_V2","TS51_V2","TS55_V2","TS56_V2","TS57_V2","TS6_V2","TS61_V2","TS62_V2","TS63_V2","TS64_V2","TS65_V2","TS66_V2","TS67_V2","TS68_V2","TS69_V2","TS7_V2","TS70_V2","TS71_V2","TS72_V2","TS73_V2","TS74_V2","TS75_V2","TS76_V2","TS77_V2","TS78_V2","TS8_V2","TS82_V2","TS83_V2","TS84_V2","TS85_V2","TS86_V2","TS87_V2","TS88_V2","TS89_V2","TS9_V2","TS90_V2","TS91_V2","TS92_V2","TS94_V2","TS95_V2","TS96_V2","TS97_V2","TS98_V2","TS99.2_V2"
"Histophilus",0,0,0,0,0,0,0,1.418e-05,3.31e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4e-05,4.8e-06,1.044e-05,2.859e-05,2.756e-05,1.205e-05,3.03e-05,0.00012888,1.86e-05,2.351e-05,7.52e-06,1.116e-05,3.612e-05,5.58e-06,2.942e-05,3.414e-05,3.96e-05,1.34e-05,3.15e-05,9.27e-06,9.1e-06,3.342e-05,3.495e-05,7.99e-06,1.085e-05,1.081e-05,2.68e-05,9.43e-06,2.324e-05,2.212e-05,7.77e-06,2.708e-05,6.69e-06,3.048e-05,3.617e-05,1.538e-05,3.401e-05,1.017e-05,1.228e-05,6.01e-06,2.666e-05,2.617e-05,6.86e-06,8.06e-06,9.65e-06,6.02e-06,2.256e-05,4.44e-06,8.22e-06,9.76e-06,7.65e-06,1.732e-05,1.254e-05,2.585e-05,1.006e-05,7.42e-06,9.92e-06,8.09e-06,9.31e-06,7.346e-05,7.1e-06,9.42e-06,8.24e-06,1.304e-05,1.187e-05,7.02e-06,1.007e-05,7.54e-06,1.359e-05,7.77e-06,0.00031847,0.0002668,7.84e-06,1.274e-05,1.079e-05,8.12e-06,3.344e-05,8.98e-06,1.005e-05,3.188e-05,9.75e-06,6.34e-06,4.72e-06,6.42e-06,5.029e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus",3.535e-05,0.00897181,0.00093296,0.00194011,9.541e-05,0.00013102,0.00020572,0,7.76e-05,0.00022021,0.00364222,0.00116403,0.00159819,0.00258593,0.00023384,0.0001184,0.00098646,0.0004922,3.012e-05,0.01456284,0.00124293,0.00131552,0.00064815,0.00010587,0.00044381,0.04185805,0.00098054,0.00088458,0.00077432,0.00166855,0.00597102,0.00132236,0.00442693,0.00323627,0.00639396,0.00056375,0.00035939,0.00010794,0.00068801,0.00192389,0.00101581,0.00076307,0.00079979,0.03621558,0.00368226,0.00054,0.00043434,0.00229832,0.00176597,0.00048583,0.00111295,0.00127629,0.00026008,0.00124727,0.00065716,0.00624589,0.00096506,0.00197783,0.00085335,0.00138767,0.00037643,0.00121572,0.00102592,0.00101897,0.00049389,0.00060345,0.00049504,0.0029126,0.00047177,0.00132727,0.00054267,0.00064964,0.0005709,0.00020602,0.0039658,0.00048043,0.00097238,0.00069369,0.00045502,0.00160699,0.00191408,0.00054326,0.00057453,0.00037017,0.0013812,0.00040664,0.0006946,0.00075759,0.00032351,0.00026855,0.00059804,0.0006358,0.00082552,0.00054926,0.00102776,0.00067437,0.00037928,0.00210183,0.00068994,0.00043257,0.00083538,0.00055555,0.00041074,0.00100613,0.00086451,0.00051232,0.00067282,0.00073465,0.00062653,0.00126842,0.00110763,0.00467543,0.00231117,0.00060428,0.00042509,0.0040907,0.00109122,0.00286204,0.00035763,0.00074728,0.00044921,0.00048541,0.00137963,0.00026234,0.00036985,0.01610389,0,0.00783282,0.00486351,0.00498887,0.00455701,0.00073493,0.00201615,0.0329374,0.00952048,0.00101361,0.00581311,0.00716016,0.02475315,0.00103761,0.00189523,0.00178057,0,0.00092757,0.0277026,0,0.00340961,0.00047707,0.27790436,0.00035497,0.00782356,0.00750796,0.00179379,0,0.00175101,0.00046519,0.00949117,0,0.0017543,0.0004983,0.00071648,0.00090341,0.00581476,0.01028304,0,0.01510868,0.00254221,0.0037641,0.06418297,0.00094104,0,0.00736882,0.00028369,0.00556482,0.00295243,0.00297094,0.00109254,0,0.00034027,0,0,0.01989204,0.01173186,0,0,0,0.00279688,0.00173499,0.00067132,0.00035794,0.00226509,0.00245375,0.001052,0,0.02260945,0.00401154,0.0017406,0,0.00292789,0.00097117,0.00525417,0.00134131,0.00211882,0.00333938,0.00226625,0.00577888,0.00047527,0.00046624,0,0.00153088,0.00047894,0.00023565,0.00161352,0.00209792,0.03730963,0.04153894,0.01684191,0.00387926,0.01813106,0.00117073,0.00046716,0.00016144,0.00012762,0.00277921,0.00059889,0.01093409,0.00233897,0.00405504,0,0.02226307,0.00212299,0,0.00094645,0.04035162,0.00339623,0.00039859,0.00806726,0.00342282,0.00434264,0,0.00153981,0.00229889,0.00860814,0.00105058,0.00063628,0.0012475,0.00273942,0,0.00257235,0.00035477,0.16836546,0.00012297,0,0.01012852,0.01444852,0.00121922,0.00672179,0.00179965,0.02031856,0.00769604,0,0.00047072,0.00372918,0.00086777,0,0.00062024,0.00112437,0.01708657,0.00052637,0.00060274,0.00223212,0.03174197,0.02036101,0,0.00241398,0.00285307,0.03066648,0.00489691,0.00120195,0
"Pasteurella",0,0,0,0,0,0,0,0,5.87e-06,0,0,0,0,0,0,0,0,2.466e-05,0,0,0,0,0,0,0,9.77e-06,0,2.412e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017997,3.79e-06,2.844e-05,3.886e-05,5.152e-05,1.102e-05,2.216e-05,0.00033887,3.267e-05,3.77e-05,7.03e-06,1.755e-05,3.66e-05,9.07e-06,4.934e-05,7.57e-06,6.516e-05,1.208e-05,2.995e-05,5.3e-06,9.28e-06,3.678e-05,3.425e-05,8.93e-06,1.061e-05,1.166e-05,4.413e-05,1.096e-05,2.809e-05,4.345e-05,8.67e-06,7.18e-05,5.19e-06,7e-05,1.126e-05,1.986e-05,7.282e-05,9.8e-06,1.555e-05,1.612e-05,3.916e-05,6.597e-05,7.06e-06,1.082e-05,8.42e-06,4.93e-06,9.59e-06,7.28e-06,1.176e-05,7.75e-06,1.27e-05,3.444e-05,1.685e-05,7.597e-05,1.004e-05,7.47e-06,1.133e-05,1.123e-05,9e-06,0.00022288,5.68e-06,5.93e-06,1.047e-05,1.474e-05,8.34e-06,6.23e-06,5.33e-06,6.02e-06,2.31e-05,5.6e-06,0.00100151,0.00088637,8.58e-06,9.84e-06,1.5e-05,1.206e-05,0.0001151,1.092e-05,1.105e-05,1.519e-05,1.098e-05,8.91e-06,4.19e-06,1.317e-05,0.00015089,0,0.00054191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00050268,0,0.00017985,0,0,0,0,0,0,0,0,0,0,0,0,0.00177027,0,0.00030815,0,0,0,0,0,0.00030685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031555,0,0,0,0,0,0.00065798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00084947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00055047,0,0
"Acinetobacter",0,0,0,6.6e-07,7.814e-05,1.299e-05,2.487e-05,0,6.085e-05,1.584e-05,1.156e-05,8.37e-06,8.58e-06,8.53e-06,0,0,6.721e-05,1.429e-05,9.52e-06,1.325e-05,0,0,2.469e-05,8.996e-05,6.46e-05,0,0.00011351,1.819e-05,0,2.378e-05,2.096e-05,0,4.866e-05,0,2.757e-05,0,0,0,0,0,8.96e-05,5.049e-05,2.772e-05,1.976e-05,8.313e-05,7.317e-05,3.564e-05,8.323e-05,7.459e-05,2.905e-05,6.535e-05,2.505e-05,2.123e-05,0.00012679,2.03e-05,7.238e-05,2.653e-05,7.346e-05,5.141e-05,9.05e-05,2.864e-05,2.909e-05,0.0001406,0.00010291,2.46e-05,0.00276613,4.788e-05,7.224e-05,3.936e-05,6.263e-05,3.935e-05,3.192e-05,3.277e-05,1.88e-05,3.932e-05,5.152e-05,3.242e-05,8.94e-05,4.947e-05,2.545e-05,1.244e-05,4.265e-05,2.715e-05,2.001e-05,2.841e-05,3.462e-05,1.861e-05,4.351e-05,1.175e-05,2.858e-05,2.367e-05,1.166e-05,6.414e-05,3.032e-05,3.908e-05,3.563e-05,2.812e-05,4.31e-05,2.399e-05,3.014e-05,4.041e-05,4.606e-05,2.325e-05,1.511e-05,3.601e-05,1.907e-05,2.604e-05,3.068e-05,2.438e-05,2.463e-05,2.732e-05,5.041e-05,4.301e-05,3.169e-05,2.639e-05,1.994e-05,2.774e-05,8.92e-06,5.663e-05,4.708e-05,3.085e-05,2.711e-05,5.291e-05,2.951e-05,2.037e-05,3.507e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enhydrobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,1.093e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.604e-05,2.51e-06,2.4e-06,7.51e-06,6.85e-06,4.68e-06,1.033e-05,8.56e-06,2.98e-06,4.62e-06,2.43e-06,2.95e-06,7.62e-06,2.73e-06,8.68e-06,2.11e-06,8.01e-06,5.4e-06,8.94e-06,3.63e-06,7.15e-06,1.254e-05,1.045e-05,2.71e-06,1.099e-05,6.13e-06,6.98e-06,4.37e-06,6.86e-06,5.14e-06,6.18e-06,3.29e-06,6.81e-06,3.89e-06,5.23e-06,3.64e-06,7.87e-06,5.51e-06,3.92e-06,1.93e-06,4.69e-06,3.02e-06,2.42e-06,3.08e-06,4.83e-06,3.96e-06,4.89e-06,2.26e-06,4.46e-06,2.89e-06,1.68e-06,5.43e-06,2.41e-06,4.53e-06,4.37e-06,2.7e-06,3.71e-06,3.79e-06,3.08e-06,2.43e-06,1.51e-06,2.47e-06,3.23e-06,4.71e-06,2.2e-06,2.6e-06,3.98e-06,2.67e-06,3.22e-06,4.05e-06,3.92e-06,2.31e-06,4.56e-06,2.92e-06,2.27e-06,3.76e-06,1.66e-06,2.36e-06,3.72e-06,3.92e-06,3.23e-06,3.34e-06,4.51e-06,3.66e-06,2.38e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azotobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88e-06,1.262e-05,1.379e-05,1.53e-05,3.031e-05,2.257e-05,1.706e-05,2.822e-05,2.171e-05,1.209e-05,1.243e-05,1.654e-05,2.099e-05,3.454e-05,1.241e-05,3.29e-05,8.02e-06,2.485e-05,1.449e-05,3.005e-05,7.73e-06,1.074e-05,3.897e-05,2.652e-05,9.51e-06,1.616e-05,9.11e-06,2.558e-05,1.067e-05,1.573e-05,1.359e-05,7.12e-06,1.201e-05,3.3e-06,1.084e-05,1.871e-05,2.634e-05,1.548e-05,2.147e-05,1.323e-05,1.06e-05,1.377e-05,1.42e-05,7.32e-06,7.24e-06,1.576e-05,1.296e-05,1.948e-05,7.53e-06,2.132e-05,2.225e-05,8.74e-06,1.71e-05,2.941e-05,1.548e-05,1.951e-05,9.55e-06,1.762e-05,1.454e-05,2.244e-05,7.39e-06,2.286e-05,9.4e-06,6.26e-06,1.331e-05,2.824e-05,4.66e-06,1.043e-05,8.21e-06,6.01e-06,1.922e-05,3.75e-06,5.64e-06,2.262e-05,1.284e-05,1.161e-05,1.04e-05,4.42e-06,1.319e-05,8.53e-06,1.075e-05,8.35e-06,2.187e-05,4.52e-06,7.08e-06,1.263e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cellvibrio",0,0,0,0,0,0,0,1.24e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2e-06,3.12e-06,2.96e-06,1.422e-05,1.205e-05,7.24e-06,1.109e-05,7.1e-06,4.98e-06,5.4e-06,5.8e-06,6.69e-06,1.099e-05,6.67e-06,1.444e-05,3.86e-06,1.427e-05,6.67e-06,1.47e-05,3.72e-06,4.11e-06,1.83e-05,1.558e-05,3.35e-06,5.63e-06,6.02e-06,1.136e-05,3.78e-06,8.75e-06,4.41e-06,3.44e-06,4.98e-06,2.57e-06,7.92e-06,1.008e-05,7.31e-06,1.115e-05,9.24e-06,4.57e-06,2.14e-06,7.69e-06,7.97e-06,4.11e-06,2.96e-06,6.78e-06,6.1e-06,1.038e-05,2.58e-06,7.75e-06,5.59e-06,3.27e-06,6.95e-06,7.55e-06,6.93e-06,6.33e-06,5.47e-06,7.64e-06,5.01e-06,8.36e-06,4.91e-06,3.53e-06,3.61e-06,2.97e-06,5.21e-06,7.56e-06,2.73e-06,4.86e-06,3.61e-06,4.85e-06,6.33e-06,3.64e-06,3.2e-06,6.98e-06,4.49e-06,4.07e-06,3.66e-06,9e-07,4.97e-06,3.86e-06,6.5e-06,5.09e-06,8.02e-06,2.55e-06,3.07e-06,4.28e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonas",0,0,0,0,0,6e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6e-06,0,0,0,5.104e-05,0,0,0,2.563e-05,0,0,4.52e-06,0,0,0,0,0,1.393e-05,4.32e-06,0,0,2.17e-05,0.00013399,8.621e-05,0.00010525,0.0002682,0.00020609,0.00016474,0.00035087,0.00017843,0.00012013,0.00010746,0.00013698,0.00016303,0.0002773,9.494e-05,0.00030673,6.847e-05,0.00025992,0.0001242,0.00029094,8.004e-05,0.00010199,0.00037353,0.00025079,9.334e-05,0.00015598,0.00010039,0.00024053,7.401e-05,0.0001399,0.00011191,6.949e-05,0.00011972,3.803e-05,0.00010031,0.00020847,0.00021693,0.00016579,0.00018969,0.00010724,7.821e-05,0.00014247,0.00013864,6.733e-05,6.714e-05,0.00015811,0.00012505,0.00018214,6.679e-05,0.00018204,0.00018805,6.735e-05,0.00014624,0.00024741,0.00014368,0.00017581,9.432e-05,0.00014315,0.00011688,0.00018902,6.467e-05,0.00015914,7.796e-05,6.119e-05,0.00011098,0.00023346,3.62e-05,0.00011689,7.297e-05,5.562e-05,0.00016382,3.801e-05,5.005e-05,0.00019396,0.00016229,9.98e-05,8.929e-05,2.929e-05,0.00010025,8.427e-05,9.838e-05,7.097e-05,0.00018536,5.069e-05,6.578e-05,0.00011163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridiales",0.00037359,0.00085775,0.00147056,0.00546261,0.00074632,0.00061541,0.00129529,0.00074028,0.00071491,0.00064603,0.00149746,0.00035696,0.00070893,0.00166102,0.00074563,0.00076973,0.00095365,0.00136372,0.00048883,0.00148877,0.00127081,0.00129239,0.00448154,0.00094325,0.00105017,0.00019138,0.00128197,0.00045894,0.00313119,0.00388516,0.00148019,0.00239982,0.00578772,0.00558019,0.00586601,0.00171056,0.00142453,0.00011875,0.00030935,0.00272441,0.00319474,0.00097516,0.00203634,0.00138413,0.00144492,0.00084469,0.0015719,0.00248717,0.00173527,0.00086286,0.00268002,0.0012182,0.00142423,0.00279399,0.00155692,0.00230328,0.00196924,0.00194164,0.0007342,0.00216139,0.00429816,0.00141734,0.00162606,0.00153754,0.00123369,0.00117157,0.00181322,0.00237896,0.00169376,0.00139729,0.00099741,0.00065717,0.001266,0.00037675,0.00137398,0.00150959,0.0019366,0.00088302,0.00131863,0.00109713,0.00131491,0.00124144,0.00151944,0.00131499,0.00136896,0.00124223,0.00074309,0.00165082,0.00082627,0.00100269,0.00126315,0.00090701,0.00116779,0.00164365,0.00089846,0.00153194,0.00106794,0.00156513,0.00109082,0.00134105,0.00194456,0.00310544,0.00076809,0.00084936,0.00151029,0.00170152,0.00099318,0.00272067,0.00120003,0.00076708,0.00144349,0.00115773,0.00084654,0.01301534,0.00135025,0.00159023,0.00114576,0.00047623,0.00101999,0.00150347,0.00139957,0.00108306,0.00120335,0.00068482,0.00113742,0.00200742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aliivibrio",0,0,0,0,0,0,0,0,0,0,0,3.21e-06,0,0,5.8e-06,0,0,6.14e-06,0,0,0,0,0,0,0,0,3.02e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.726e-05,2.07e-06,2.54e-06,1.756e-05,1.567e-05,7.78e-06,1.968e-05,2.397e-05,5.54e-06,1.324e-05,4.99e-06,4.32e-06,2.319e-05,3.43e-06,1.467e-05,4.11e-06,1.609e-05,1.456e-05,1.863e-05,4.58e-06,7.63e-06,2.914e-05,2.408e-05,5.35e-06,5.9e-06,8.67e-06,1.669e-05,1.027e-05,1.524e-05,9.03e-06,6.9e-06,8.82e-06,2.94e-06,9.45e-06,8.91e-06,5.13e-06,1.622e-05,8.7e-06,5.02e-06,2.45e-06,8.49e-06,6.11e-06,4.2e-06,6.43e-06,6.14e-06,1.69e-06,7.98e-06,3.17e-06,5.76e-06,3.86e-06,1.98e-06,2.595e-05,7.97e-06,8.51e-06,6.97e-06,5.89e-06,7.94e-06,5.41e-06,3.28e-06,7.74e-06,2.58e-06,5.56e-06,4.43e-06,9.07e-06,4.26e-06,5.69e-06,3.07e-06,5.03e-06,6.89e-06,6.84e-06,3.21e-05,2.292e-05,5.65e-06,5.38e-06,4.31e-06,6.29e-06,2.43e-06,4.31e-06,6.6e-06,9.09e-06,5.83e-06,4.02e-06,5e-06,3.13e-06,6.42e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Photobacterium",0,1.247e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16e-06,5.44e-06,1.06e-06,6.76e-06,6.49e-06,2.73e-06,6.51e-06,5.89e-06,6.34e-06,3.75e-06,2.23e-06,1.28e-06,6.88e-06,1.06e-06,5.27e-06,2.63e-06,6.41e-06,3.59e-06,5.77e-06,2.3e-06,6.38e-06,1.074e-05,5.59e-06,2.73e-06,4.79e-06,3.73e-06,4.82e-06,6.03e-06,4.61e-06,6.46e-06,1.97e-06,6.95e-06,1.13e-06,2.99e-06,3.66e-06,3.9e-06,8.22e-06,2.28e-06,5.17e-06,6.2e-07,5.14e-06,2.62e-06,1.68e-06,2.88e-06,2.95e-06,8.1e-07,3.74e-06,5.8e-07,3.01e-06,1.071e-05,1.2e-06,9.74e-06,3.57e-06,3.83e-06,4.35e-06,2.56e-06,2.63e-06,4.8e-06,2.32e-06,2.3e-06,1.11e-06,2.49e-06,1.2e-06,3.17e-06,3.6e-06,7.3e-06,1.77e-06,2.02e-06,2.25e-06,1.88e-06,6.89e-06,6.14e-06,2.23e-06,2.22e-06,3.43e-06,2.2e-06,1.72e-06,1.48e-06,4.73e-06,3.4e-06,5.29e-06,1.97e-06,2.13e-06,1.04e-06,3.01e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
